Polar Bear ID,Date,Step length,Turning angle,dx,dy
P3,2009-06-01 1:00,3266.979371,NA,1782.145148,2738.085623
P3,2009-06-01 5:00,2143.907179,1.279452542,-1385.1792,1636.342439
P3,2009-06-01 9:00,3412.955646,0.026355992,-2272.994047,2545.93093
P3,2009-06-01 13:00,2717.03147,1.076704218,-2642.524076,-631.9228721
P3,2009-06-01 17:01,984.4920851,0.059235251,-942.2603909,-285.2543098
P3,2009-06-01 21:00,777.5970309,0.298918139,-644.8877813,-434.4846279
P3,2009-06-02 1:00,438.5096856,0.868765656,-47.76805417,-435.9001691
P3,2009-06-02 5:01,313.3706042,-0.139028828,-76.9758335,-303.7694136
P3,2009-06-02 9:01,5938.604082,-0.274530646,-2964.723707,-5145.622585
P3,2009-06-02 13:00,7020.096398,-1.872413818,-4767.008304,5153.385806
P3,2009-06-02 17:00,8638.453391,-0.281936389,-3870.078267,7723.041576
P3,2009-06-02 21:00,8589.540617,-1.385772628,6840.294462,5195.245873
P3,2009-06-03 1:00,834.7426635,-3.076039006,-630.2477927,-547.341789
P3,2009-06-03 5:00,815.8436248,0.366979568,-383.0251561,-720.3419673
P3,2009-06-03 9:00,2330.120641,-0.875255723,-2280.456036,-478.5211239
P3,2009-06-03 13:00,2646.555173,-0.241796628,-2644.937861,92.50944332
P3,2009-06-03 17:01,3467.391778,0.195881429,-3422.594289,-555.566442
P3,2009-06-03 21:00,4443.984618,-0.261346172,-4421.593571,445.5441433
P3,2009-06-04 1:01,4772.742857,0.050346539,-4766.759076,238.9190124
P3,2009-06-04 5:00,4527.544477,0.135563672,-4511.012123,-386.5599783
P3,2009-06-04 9:00,5754.596419,0.319724244,-5288.591792,-2268.518638
P3,2009-06-04 13:00,4223.422997,-0.142343267,-4078.346582,-1097.44748
P3,2009-06-04 17:01,7939.291474,1.197023882,-878.7251724,-7890.512732
P3,2009-06-04 21:00,1134.665937,-2.69375732,-375.1080274,1070.86916
P3,2009-06-05 1:00,3146.185446,1.387946982,-3108.913902,-482.8428439
P3,2009-06-05 5:02,4804.404545,0.02961887,-4723.570847,-877.5998454
P3,2009-06-05 9:00,4194.154153,-0.797636875,-3428.237344,2416.219727
P3,2009-06-05 13:00,4415.288643,-0.628265792,-1424.855511,4179.062164
P3,2009-06-05 17:00,16689.6866,0.153840763,-7742.921981,14784.88411
P3,2009-06-06 1:01,8531.099218,0.889739275,-8363.366821,1683.374377
P3,2009-06-06 5:00,5119.526925,0.275179317,-5104.532811,-391.5363528
P3,2009-06-06 9:00,6613.730252,-0.132642939,-6603.329596,370.7642087
P3,2009-06-06 13:02,5780.697386,0.160200034,-5749.39698,-600.7467295
P3,2009-06-06 17:00,7175.581331,0.067881962,-7069.710365,-1228.072791
P3,2009-06-06 21:00,6793.347331,-0.189169928,-6792.345156,116.6843268
